id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1014269145729838585,Martires Sweet Apartments 2,456999607,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1515768,-8.6138918,Entire home/apt,52,1,7,2024-02-26,2.10,6,272,7,150273/AL
44350566,Boomerang House - Luxury House next to City Park,357805189,Ana,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.1654,-8.66772,Entire home/apt,1300,2,7,2023-08-19,0.21,1,349,2,110773/AL
750097853342355243,Mezzanine Cozy House,1152373,Nina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1519803,-8.6136302,Entire home/apt,62,2,1,2023-04-05,0.09,2,274,1,58537/AL
22999342,Mezzanine with 2 bedrooms near D. Luis bridge,17039060,Lofts Of Sensations,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13526,-8.60773,Entire home/apt,97,2,115,2024-03-10,1.61,10,66,38,136442/AL
27700371,OLÁ PORTO near Center and University Campus,209110563,Marília,PORTO,Paranhos,41.16403,-8.60249,Entire home/apt,52,2,153,2024-03-07,2.29,1,212,31,78999/AL
54240560,Chez Nuno 5 espaçoso Duplex c/Terraço com Vista,439837542,Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15831,-8.61283,Entire home/apt,104,2,121,2024-02-23,4.70,6,269,57,121493/AL
3353652,Your Opo Formosa Apartments,16922131,YourOpo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14943,-8.60658,Entire home/apt,136,1,206,2023-10-29,1.74,92,334,2,49474/AL
566568972088558602,In Bloom Apartments | 3.4,435188439,InBloom,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14531,-8.611216,Entire home/apt,87,2,104,2024-03-11,4.23,8,253,54,119001/AL
683156975247054667,Modern Loft in a Historic Building,61948191,Fátima,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1498965,-8.6146093,Entire home/apt,64,2,51,2024-03-09,2.61,8,296,36,129658/AL
1089710961236540397,Estúdio Novo - Fantástico T0,229127564,Ricardo,PORTO,Bonfim,41.1557635,-8.5945399,Entire home/apt,55,3,0,,,4,194,0,Exempt
565068686056755242,Vintage House,445665762,Joana,PORTO,Lordelo do Ouro e Massarelos,41.15336,-8.62562,Entire home/apt,189,3,84,2024-03-11,3.56,1,281,43,100505/AL
30551718,Liiiving in Porto | Downtown Luxury Apartment 2T,229226147,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15189,-8.61208,Entire home/apt,62,2,2,2021-09-28,0.05,7,311,0,77630/AL
670116425095495153,GuestReady - Innvict - Offshore River Views,427177283,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14056,-8.61752,Private room,125,1,128,2024-03-15,6.26,3,336,60,5620/AL
760094341515959820,Double room Oporto center downtown,477670832,Rui,PORTO,Bonfim,41.1438,-8.5998,Private room,38,1,41,2024-03-03,3.74,2,256,41,Exempt
998454437692462403,Central 2BR Marquês by LovelyStay,541077389,Fabio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.161261255262566,-8.604485223641403,Entire home/apt,68,2,5,2024-01-02,1.50,1,268,5,149619/AL
585477092322790472,Lóios 1BR Flat Downtown by LovelyStay,450182489,Leontina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14505,-8.61353,Entire home/apt,58,2,58,2024-03-11,2.41,1,232,27,120767/AL
731162198392055883,*Sunrise Attic Almada* Charming and Best Location,13273847,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1503707,-8.6122333,Entire home/apt,76,2,107,2024-03-09,6.23,2,290,74,131151/AL
913349370854679106,Garden flat in the BEST location,484554796,Royal,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14743,-8.60733,Entire home/apt,80,1,9,2023-10-06,1.07,11,104,9,Exempt
45331933,"Sweet Home Clerigos ""Balcony View""",366064511,Regina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14631,-8.61345,Entire home/apt,64,1,165,2024-03-10,3.86,4,182,46,109387/AL
