stop_id,stop_code,stop_name,stop_lat,stop_lon
47091,0,BOAVISTA CORREIOS,41.158109984712404,-8.627949988149288
46583,0,CRUZ VERMELHA,41.15964619524189,-8.625215632773857
45999,0,RAMADA ALTA,41.160299984711806,-8.621759988152766
45726,0,MARRACUENE,41.16175316092554,-8.620143206218838
41834,0,STO. ISIDRO,41.15788321111532,-8.601698668595473
41998,0,ESCOLA NORMAL,41.1551999847215,-8.60277998817284
42094,0,MOREIRA,41.153636855863425,-8.603395905309421
42246,0,R. FIRMEZA,41.151239536772565,-8.604266954484727
41275,0,CAMPO 24 DE AGOSTO,41.14888998472872,-8.598629988181349
45826,0,SERPA PINTO,41.16322845554731,-8.620780206749643
45897,0,RAMADA ALTA,41.16089988104432,-8.621125610626738
46345,0,CRUZ VERMELHA,41.160104233302256,-8.62384101175806
41975,0,S. LÁZARO,41.145600036709816,-8.602551488937491
41802,0,LARGO DO PADRÃO,41.146441818608096,-8.601503406976727
45042,0,CARMO,41.14759998472563,-8.616019988167713
44799,0,OLIVEIRAS,41.15053787047432,-8.61472304350036
44552,0,MÁRTIRES LIBERDADE,41.15275967093439,-8.613606275637403
44186,0,PR. DA REPÚBLICA,41.15414970618791,-8.61202145810066
45020,0,BR.REGADO,41.17545129824444,-8.616042585989003
45408,0,CAPELA SRA.FÁTIMA,41.17514270561532,-8.618282401769015
45715,0,BR. DO AMIAL,41.176477879694865,-8.620156698741205
46768,0,BR.STA.LUZIA,41.177570032154065,-8.626347183337744
45521,0,CAPELA SRA.FÁTIMA,41.17505297720782,-8.618914711070799
45108,0,BR.REGADO,41.175355624998396,-8.61674050997872
41472,0,HOSP. S. JOÃO (CIRCUNVALAÇÃO),41.18291322681185,-8.599951428384259
38747,0,AREOSA,41.18075411673971,-8.582780867354941
39817,0,Capela Sra Saúde,41.147103160874956,-8.589307755556224
36269,0,AZEVEDO,41.15172659673284,-8.567006874009849
43566,0,PR. D. JOÃO I,41.14751311573181,-8.609158052538772
42991,0,BOLHÃO - MERCADO,41.1491955711808,-8.60675494647077
39707,0,ALAMEDA DAS ANTAS,41.16370759816568,-8.588872880641148
39256,0,DOLCE VITA,41.16279194318596,-8.58600318136792
38899,0,ESTÁDIO DO DRAGÃO,41.160311968772,-8.583652657935831
38334,0,PR. DA CORUJEIRA,41.156610803627785,-8.579772674532938
37823,0,FERREIRA SANTOS,41.15656415729595,-8.576832437128965
37393,0,IGREJA DE CAMPANHÃ,41.1553355550544,-8.574253888079577
37475,0,MONTE CAMPANHÃ,41.15715325286033,-8.57471615248745
37608,0,BR. FALCÃO,41.1589058942679,-8.575427288679723
36643,0,PESO DA RÉGUA,41.16120998472388,-8.569549988196076
36776,0,CERCO DO PORTO,41.15973998472516,-8.570249988196652
36633,0,PEDRAS SALGADAS,41.15913174446796,-8.569492102969921
36205,0,VILA NOVA FOZ CÔA,41.161765266734854,-8.566823883264462
36280,0,R. CERCO DO PORTO,41.164326999751175,-8.567176924191202
36435,0,S. ROQUE,41.166714732638525,-8.5680493858754
36283,0,R. CERCO DO PORTO,41.16438088459669,-8.567203703077954
36207,0,VILA NOVA FOZ CÔA,41.16171861409565,-8.566829437126467
36644,0,PEDRAS SALGADAS,41.15909670377938,-8.569546359628985
36765,0,CERCO DO PORTO,41.160549984724355,-8.570199988196054
36673,0,PESO DA RÉGUA,41.162329984722774,-8.569649988195103
37589,0,BR. FALCÃO,41.15866082502802,-8.575310480750753
