RK,Team,Total Points,Previous Points,Difference,Confederation
102,Kosovo,1205.85,1202.77,3.08,UEFA
103,Kazakhstan,1203.64,1215.16,-11.52,UEFA
112,Azerbaijan,1177.83,1174.22,3.61,UEFA
123,Estonia,1141.13,1148.76,-7.63,UEFA
124,Cyprus,1141.03,1143.42,-2.39,UEFA
133,Faroe Islands,1103.43,1102.1,1.33,UEFA
136,Latvia,1095.91,1097.84,-1.93,UEFA
137,Lithuania,1095.23,1086.93,8.3,UEFA
153,Moldova,1028.85,1022.6,6.25,UEFA
164,Andorra,998.75,998.0,0.75,UEFA
171,Malta,973.14,967.29,5.85,UEFA
202,Liechtenstein,832.75,833.01,-0.26,UEFA
203,Gibraltar,832.5,840.8,-8.3,UEFA
210,San Marino,742.05,741.61,0.44,UEFA
