date, value
2015-08-21,45.4600
2015-08-24,42.6900
2015-08-25,43.2100
2015-08-26,43.1400
2015-08-27,47.5600
2015-08-28,50.0500
2015-08-31,54.1500
2015-09-01,49.5600
2015-09-02,50.5000
2015-09-03,50.6800
2015-09-04,49.6100
2015-09-07,47.6300
2015-09-08,49.5200
2015-09-09,47.5800
2015-09-10,48.8900
2015-09-11,48.1400
2015-09-14,46.3700
2015-09-15,46.6300
2015-09-16,49.7500
2015-09-17,49.0800
2015-09-18,47.4700
2015-09-21,48.9200
2015-09-22,49.0800
2015-09-23,47.7500
2015-09-24,48.1700
2015-09-25,48.6000
2015-09-28,47.3400
2015-09-29,48.2300
2015-09-30,48.3700
2015-10-01,47.6900
2015-10-02,48.1300
2015-10-05,49.2500
2015-10-06,51.9200
2015-10-07,51.3300
2015-10-08,53.0500
2015-10-09,52.6500
2015-10-12,49.8600
2015-10-13,49.2400
2015-10-14,49.1500
2015-10-15,48.7100
2015-10-16,50.4600
2015-10-19,48.6100
2015-10-20,48.7100
2015-10-21,47.8500
2015-10-22,48.0800
2015-10-23,47.9900
2015-10-26,47.5400
2015-10-27,46.8100
2015-10-28,49.0500
2015-10-29,48.8000
2015-10-30,49.5600
2015-11-02,48.7900
2015-11-03,50.5400
2015-11-04,48.5800
2015-11-05,47.9800
2015-11-06,47.4200
2015-11-09,47.1900
2015-11-10,47.4400
2015-11-11,45.8100
2015-11-12,44.0600
2015-11-13,43.6100
2015-11-16,44.5600
2015-11-17,43.5700
2015-11-18,44.1400
2015-11-19,44.1800
2015-11-20,44.6600
2015-11-23,44.8300
2015-11-24,46.1200
2015-11-25,46.1700
2015-11-26,45.4600
2015-11-27,44.8600
2015-11-30,44.6100
2015-12-01,44.4400
2015-12-02,42.4900
2015-12-03,43.8400
2015-12-04,43.0000
2015-12-07,40.7300
2015-12-08,40.2600
2015-12-09,40.1100
2015-12-10,39.7300
2015-12-11,37.9300
2015-12-14,37.9200
2015-12-15,38.4500
2015-12-16,37.1900
2015-12-17,37.0600
2015-12-18,36.8800
2015-12-21,36.3500
2015-12-22,36.1100
2015-12-23,37.3600
2015-12-24,37.8900
2015-12-28,36.6200
2015-12-29,37.7900
2015-12-30,36.4600
2015-12-31,37.2800
2016-01-04,37.2200
2016-01-05,36.4200
2016-01-06,34.2300
2016-01-07,33.7500
2016-01-08,33.5500
2016-01-11,31.5500
2016-01-12,30.8600
2016-01-13,30.3100
2016-01-14,31.0300
2016-01-15,28.9400
2016-01-18,28.5500
2016-01-19,28.7600
2016-01-20,27.8800
2016-01-21,29.2500
2016-01-22,32.1800
2016-01-25,30.5000
2016-01-26,31.8000
2016-01-27,33.1000
2016-01-28,33.8900
2016-01-29,34.7400
2016-02-01,34.2400
2016-02-02,32.7200
2016-02-03,35.0400
2016-02-04,34.4600
2016-02-05,34.0600
2016-02-08,32.8800
2016-02-09,30.3200
2016-02-10,30.8400
2016-02-11,30.0600
2016-02-12,33.3600
2016-02-15,33.3900
2016-02-16,32.1800
2016-02-17,34.5000
2016-02-18,34.2800
2016-02-19,33.0100
2016-02-22,34.6900
2016-02-23,33.2700
2016-02-24,34.4100
2016-02-25,35.2900
2016-02-26,35.1000
2016-02-29,35.9700
2016-03-01,36.8100
